Green_genes11	Green_genes_13_5
113345	209579
113347	113347
113349	847934
113586	113586
11365	724147
113661	527402
113721	113721
113738	1106903
113799	221108
113972	113972
114024	114024
114027	1112192
114029	253387
114114	114114
114170	114170
114227	417101
114334	4322920
114356	114356
114358	114358
114374	114374
114375	114375
114379	114379
114472	1116073
11451	11449
114546	1136456
114659	114659
114670	144497
114673	136049
114675	203010
114676	114676
114730	114730
114830	114830
114831	203010
114970	160750
114975	114975
115002	971011
115007	584612
115085	115085
115087	170462
115129	4306373
115333	90701
118311	118311
11871	11871
11875	11875
119875	808071
119938	119938
12104	550415
12106	12106
121452	4339144
12181	720983
12185	12184
12210	851567
12214	249375
12315	842143
123625	620407
12395	341674
12396	12396
12398	12398
124	842598
124840	1124779
12486	12486
1249	1249
12527	4452511
12530	74355
12532	4473893
125326	4461947
12533	109591
125439	4417749
125742	125742
125744	24388
126675	741918
127012	127012
12776	12776
12778	883641
128	849440
128046	141377
12808	72263
128136	108445
128503	4415801
128515	240020
128750	9191
129426	4364176
129783	548503
12984	4417388
130262	130262
130269	246846
130419	4316569
130491	795046
130562	3473628
130655	1146129
130750	851726
131000	4413561
131304	130212
131552	131552
131688	181552
131765	4465803
131852	3674693
132441	265032
132652	132652
133071	133071
133117	14476
133137	131371
13321	621440
133272	3090148
133336	133336
13347	103606
133478	623359
133807	133807
134002	4449280
134010	134010
134081	4407554
134122	4379452
134126	134126
134176	170405
13420	4422519
134232	563086
13424	13424
13428	13440
134597	331465
134774	331240
13501	1613745
135024	4477062
13505	13505
135261	135261
135406	2916965
135479	135479
135492	837859
135493	337494
135518	135518
135519	135519
135682	276029
13581	829038
135973	135973
1360	535809
136196	4298046
136270	136270
136276	136276
136331	4427213
136335	136335
136336	136336
136370	177037
136382	136382
136411	4385942
136414	136414
136415	1105876
136417	136417
136430	136430
136516	136516
136518	136518
136597	136597
136598	136598
13661	13661
13662	13662
136641	214977
13665	13665
136657	136657
13667	13667
13669	13669
136753	136753
136755	136755
136759	136759
136924	136924
136925	136925
136926	136926
137004	137004
137080	137080
137341	828043
13750	554951
13753	13753
13754	13754
137541	137541
137549	1141542
13758	13759
137631	279515
137637	137637
137852	3053
137953	137953
137954	137954
137956	137956
138076	879688
138107	4339175
138122	137539
13813	13813
138221	138221
138336	138336
138338	138338
138424	138424
138425	138425
138500	138500
138503	40380
138615	138615
138616	909558
138619	731149
138716	138716
138790	4401325
138793	139420
138891	68617
138914	138914
13893	1099710
13894	13894
138993	139056
138999	970843
139060	4380666
139065	278433
139171	139171
139177	139177
139178	1124064
139221	139221
139345	139345
139346	139346
139349	535454
139631	139631
13964	806407
13966	169147
139752	139752
139755	1108205
139771	139771
139854	4429670
13995	13995
139969	12564
13999	13999
140053	140053
140058	544733
140059	140059
140242	140242
140348	279699
140349	143309
140478	4405546
14049	4434073
140646	139887
140647	1145452
140669	2724733
140739	557292
140940	4458223
140946	140946
140981	140981
140983	1134434
141015	142539
141098	141098
141116	159038
141206	141206
141207	141207
141208	165888
141363	141363
14145	14145
14148	127798
141512	143523
141518	142053
141532	141532
141539	1133306
14163	820843
141653	542654
14168	130402
141707	657894
141708	142756
141709	141709
142000	4394667
14202	242298
14204	14204
14207	242298
142170	142170
142173	142173
142175	776119
142190	142190
142371	142371
142379	142379
142463	107529
142467	142467
142473	142473
142475	1121508
142545	4482857
142561	142561
142634	549781
142715	142715
14280	14280
14282	1138485
14283	14283
14284	14284
14285	14285
142867	142867
142869	142869
14288	14288
143021	143021
143025	144911
143026	143026
143040	143040
143044	143044
143046	317092
143145	4339256
143171	1136387
143178	143178
143270	143270
143275	142433
143279	143279
143427	4398142
143429	4483457
143494	241317
143513	148620
143519	142958
143592	562190
143597	143597
143598	143598
143845	143845
143846	69934
143961	1791553
143965	143965
144011	142157
144058	4414809
144059	144059
144180	142317
144181	144181
144186	144186
14423	71025
1443	199127
144575	143821
144578	144578
144630	144630
144633	144633
14465	14465
144770	144770
144843	642843
1449	1449
144918	4409658
14492	14492
14495	189772
14497	808769
145000	145000
145031	145031
14507	14507
145132	145132
145267	315098
145278	145278
145424	145424
145580	145580
145621	145621
14575	2182957
14583	14583
145852	255281
145942	145086
146190	791348
146195	794236
1463	4460870
146387	146387
146462	146462
146467	3946733
146541	146541
146620	146620
146629	4396481
1468	89259
146931	775038
146933	146933
146939	4316151
147024	145924
147081	535603
147086	147086
147088	2955898
147161	146657
147248	3271868
147365	222831
147450	147450
147459	147459
147542	1083335
147669	4438608
147794	829266
148208	148208
148285	1100992
148286	1112228
148323	145480
148326	148326
148437	1719
148743	148743
148831	148831
148980	148980
148988	148988
149051	4402114
149053	246881
14913	517923
149152	149152
149154	149154
149156	1618934
149258	789806
149280	4379318
149313	149313
149361	150115
149475	149475
149503	816596
149506	149506
149877	149877
149878	149878
149879	149879
14990	579128
149933	147090
149934	245552
149935	831393
149936	149936
149938	149938
149981	149981
150172	150172
150188	4433048
150235	150235
150577	150577
150582	150582
15060	15060
15061	15061
15062	15062
150656	560878
150659	1587971
150663	817013
150702	277373
150728	155917
150962	838180
15105	299516
151138	1120950
151277	151277
151309	151309
151384	151384
151650	151650
151653	151653
151679	4481011
151850	84447
151851	4463852
151855	151855
152060	192041
152062	154907
152148	152148
152262	152262
152266	154464
15230	15231
152323	759855
15233	281310
15237	1096652
15238	15238
152427	4301516
152450	152450
152494	353499
152496	4396976
152561	550546
152567	152567
152568	152801
152610	270229
152689	152689
152840	152840
152841	154146
152931	4425766
153003	153003
153007	153007
153009	153009
153082	153082
153084	153084
153088	153088
153131	153131
153137	153137
153138	156035
153187	153187
153332	153332
15343	93099
153568	172261
153617	153617
15366	15366
15368	15368
153768	94044
153901	213313
153904	241901
153989	153989
154113	151442
154140	154140
154141	154141
154145	1132384
154264	155856
154482	154482
154487	4329776
15456	4473883
154568	154568
154641	154641
154761	4417921
154871	727894
154874	589669
154876	154876
155010	652332
155352	3713320
155472	155472
155474	155474
155536	155536
15555	4430300
1556	1556
155684	155684
155763	154424
155768	830137
1559	1559
155932	155932
155934	155934
155936	155936
156101	156101
156232	156232
156305	156305
156524	156524
156650	156650
156651	156651
156654	514053
156724	62679
156725	210884
156857	156857
15690	15690
15695	746402
156950	1134170
156957	156957
156959	265922
15696	15696
15697	1127664
15698	15698
15710	541244
15711	45363
15713	15713
15714	15714
157140	4404112
157142	157142
15716	592616
15719	1145458
157470	157470
157472	208265
157547	4384058
157598	157598
157652	157652
157898	157898
15796	836923
158026	158026
158027	158027
158140	158140
15849	573062
158537	4497
158539	158539
158722	158722
15880	555208
15888	573950
158898	157546
159142	2704718
159294	159294
159316	4455296
159481	1128234
159487	159487
159540	159598
159572	159572
159576	159576
15960	15960
159600	556694
15963	826749
15969	933007
159762	4352989
159763	159763
159766	159766
159816	313305
159894	159884
159917	159917
159936	161615
160055	3291004
16012	16013
160448	4401773
160569	160569
160617	4302427
160771	4438027
160776	4447906
160871	160871
16093	16093
160939	3189294
161000	161000
161002	161002
161003	106476
161009	161009
16111	542027
161126	161126
16114	16114
16117	671497
161217	161217
161219	161219
161317	4298637
161369	161369
161392	161392
161509	1138397
161600	161600
161602	836061
161604	702614
161901	161901
16195	16195
161988	161988
16199	811589
16200	707087
16202	16204
162060	529173
162184	4298047
162320	878951
162326	162326
162642	961783
162763	878161
162964	162964
163074	163074
163334	632878
163413	39443
163520	533417
163626	1087462
163816	206331
163919	163919
163996	4349833
163997	163997
164052	3931106
164058	221038
164141	4463851
164145	164145
164612	164612
164647	360315
164955	23582
164959	159950
165104	1139272
165105	165105
165106	4348634
165183	165183
165188	165188
165437	4393892
165578	165578
165771	165771
165813	744251
165924	165924
165928	165928
16600	4482377
166453	315789
1665	1665
166635	4406925
166827	4301609
166948	261328
167112	167112
167257	1127851
167356	847094
167566	1134561
167602	199543
167609	167609
167646	167646
167685	232380
167800	542600
167808	167808
168111	168111
1683	274613
16834	16834
16839	16839
168533	679803
168681	4348493
168682	4451018
168768	170175
1688	843651
169163	169163
169164	169164
169316	169316
169404	106543
169488	169488
169750	169750
169934	571768
170262	170262
170268	170268
170920	4443429
170926	170926
170927	170927
1710	4451761
171073	159638
171074	171074
171079	171079
171151	6374
171204	4363685
17121	17121
17129	4481364
171395	171395
171429	512611
171504	171504
171547	171547
1716	632051
171640	16939
1718	1718
171820	171820
171944	165994
172136	162991
172207	172207
172209	414089
172283	1053100
172425	172425
172515	172515
172516	172516
172603	358265
172622	208571
172624	172624
172705	172705
172811	172811
172817	272727
172891	172891
172895	172895
172910	172910
172911	172911
172912	172912
172998	172998
173034	173034
173036	1002634
173147	1105928
173241	173241
173245	173245
173379	416286
173557	173557
173669	173669
173934	565357
174127	4396223
17431	1132945
17434	17434
174432	174432
174571	174571
174572	187561
174602	4410353
174689	4446817
174715	4345850
174902	157966
175084	175084
17553	17553
17555	17555
175754	175754
176096	1133895
176138	317888
176225	176225
176420	176420
176628	185631
176877	176877
176935	176935
177045	177045
177138	514041
177499	4412873
177869	199043
178016	178016
178099	1111247
178202	178202
178609	290917
1791	811318
179155	822337
179158	4415689
179347	180577
179472	179472
179479	1134371
179563	179563
179670	4455683
179678	179384
179734	179734
17976	17976
179853	179853
180233	180233
180355	362308
180476	180476
18084	18084
180865	40401
180944	180944
180995	180995
181028	340876
181319	186010
181392	202419
181469	181469
181525	4369181
181526	4455980
181846	181846
181882	181882
181971	181971
182034	182034
18223	18223
182323	182323
182490	182490
182568	176742
182653	182653
182810	349786
182894	188966
182895	449855
18298	87442
183122	4454715
183128	71209
183276	1854
183478	183478
183535	4478426
183618	312070
183910	291105
183914	157455
183918	1143479
184222	198865
184224	184224
184311	184311
184492	184492
184550	1120180
184881	184881
185444	3329353
185563	185563
185612	186548
185617	185617
185990	192079
186233	186233
186254	193436
186357	158211
186606	186606
187014	306021
187121	187121
187194	187194
187222	187222
187232	143801
187264	187264
187268	315462
1875	1875
187533	187533
187538	4406968
1878	1878
188084	4430641
188164	1125831
188216	20151
188247	188247
188346	188346
188464	749896
188479	188479
188868	188868
188988	773399
189208	189208
189679	189679
189730	189730
189842	185020
18989	18989
190052	190052
190057	190057
190102	1117593
190536	190536
190564	190564
190690	190690
190694	185100
190699	190699
190715	353173
190961	190961
191253	294216
191476	191476
191531	191531
191537	191537
191592	4386973
191799	271692
191867	191867
192150	192150
192159	192159
192252	357412
192365	192365
192369	746424
192432	192432
192482	276429
192712	192712
192875	358914
19288	753294
192930	192930
192937	192937
192990	195105
193229	3951715
193297	199555
193448	193448
193572	193572
193576	175563
193742	193742
193833	193833
193970	193970
194171	194171
194202	181419
194282	289047
194406	300136
194408	194409
19444	1057260
194519	81512
194616	4372408
194869	4338990
195284	331417
195316	195316
195509	195509
195885	195885
196465	1885208
196494	196494
197174	197174
197341	197341
197377	197377
1975	1975
197510	197510
197564	4372859
197568	197568
198029	228061
198270	198270
198374	347138
198384	198384
198426	198426
198432	191922
198494	198494
198511	198511
198527	368264
198649	198649
198655	198655
198841	194692
198966	198966
199006	589313
199065	199065
199102	199102
199105	199105
199177	199177
199290	28218
199540	4384238
199869	251787
19992	19992
200073	4323038
200153	200153
200217	200217
200326	872328
200507	200507
200540	1110493
200580	699249
200584	200584
200837	2339928
200864	1120655
200879	200879
200923	200923
200927	559105
201019	201019
201204	201204
201352	2904801
201410	816811
201411	3846637
201417	630306
201510	750411
201988	201988
202014	3989538
202207	202207
202209	782207
202310	202310
202319	202319
202331	202331
202422	202422
202543	337614
202616	202616
202674	151316
202730	203202
203044	203044
203067	2058825
203365	203365
203469	558858
203506	4440141
203507	4475282
20352	20352
203568	203568
203679	4304723
2037	2037
203705	203705
203745	1800506
203749	203749
204130	733758
20421	20421
204369	204369
204470	204470
204673	4308835
204709	204709
204768	370301
204782	210262
204817	204817
204818	204818
205038	205038
205058	205058
205301	205301
205304	4453304
205305	252721
205597	205597
205607	205607
205781	205781
205961	209573
205962	205962
206143	8162
206256	206256
206278	206278
206350	217139
206544	206544
206560	206560
206806	213849
206807	132619
206881	2442706
206948	206948
207007	207007
207085	207085
207313	370183
207424	206790
207532	207532
207624	187404
207627	207627
207629	589173
207813	207813
20785	57759
207912	207912
208205	3410494
208543	3841096
208648	309940
208663	4355675
20894	745411
208972	208972
209552	263662
209662	209662
209712	209712
209788	209788
209940	209940
210036	210036
210102	210102
210180	278887
210181	1911677
210453	203964
210552	3390534
210698	207631
210805	210805
210886	210886
210914	210914
211138	140223
211156	211156
211344	805191
211684	211684
211892	694744
211992	211992
211997	211997
212054	212054
212159	212159
212182	1657383
21239	578756
212484	4296811
212714	210450
212726	212726
212837	216224
212958	1122784
213015	205160
213225	213225
213522	213522
213800	811340
214126	5419
214595	214595
214651	214651
214655	350188
214739	214739
214806	214806
215100	215100
215591	215591
215972	656621
216031	216031
216324	216324
216349	216349
216695	216695
216696	4335779
216813	4350280
216815	1141139
217075	4349261
2172	2172
2173	610111
217304	217304
217322	217322
217400	246200
217401	4474906
217403	217403
2176	4307006
217767	220437
217769	217769
217925	539206
217929	217929
218062	218062
218121	408492
218189	218189
218224	220368
218225	4141532
218419	218419
218525	218525
218650	218650
219174	224548
219175	219175
219192	1047886
219270	141143
219279	301131
219729	1122363
219958	219958
219959	219959
219973	1105601
220280	589190
220363	220363
220364	220364
220468	223309
220548	109756
220661	362822
220753	220753
220916	220916
22095	22095
22115	22115
221162	224177
221218	221218
221219	221219
221365	221365
221367	221367
221369	4386675
221370	4389637
221374	221374
221405	221405
221734	221734
221935	221935
222114	820337
222196	222196
222261	225632
222397	222397
222398	805120
22253	22253
222657	222657
222751	3697600
222753	222753
223000	223000
223126	223126
223219	219078
223314	4433874
223318	223318
223474	223474
2235	3495321
223582	249171
223583	223583
223625	223625
223649	223649
2237	3845312
223904	223904
223907	4449456
223986	1832447
224143	4408363
224266	224266
224300	224300
224386	114147
224436	224436
224515	224515
224539	54330
224753	224753
224948	224948
225131	225131
225306	225306
225385	100819
225388	225388
225404	225404
225407	221648
22545	22545
225485	225485
225488	625652
225569	225569
225630	225630
225631	225631
225815	225815
225894	225894
225899	564262
225918	4400903
225991	225991
226030	568330
226176	223368
226200	158034
226283	226283
226288	226288
226512	1034839
226516	226516
22665	809760
22668	22668
226992	226992
227014	4227568
227017	227017
227019	227019
227269	227269
227320	227320
227434	227434
227439	2092170
227573	4480557
227771	4414785
227808	807632
227889	834138
228045	228045
228046	341749
228272	2897325
22841	258326
228449	116923
22845	1542689
228762	272742
228891	2017429
228919	17331
229452	229452
22948	826668
229619	229619
229967	168517
230135	230135
230200	834774
230203	233100
230208	307802
230364	270391
230366	233950
230511	228972
230788	230788
230812	230812
231169	231169
231550	231550
231552	4349993
231943	99933
231965	231965
231968	231968
232036	3016478
232037	422727
232231	232231
232434	308760
232505	232505
232667	561881
23277	23277
232905	232905
233220	233220
233450	353711
233454	233454
233848	901834
233965	247804
233968	109455
234088	234088
234421	234421
234716	234716
235290	4380621
235293	235293
235297	235297
235311	235311
235318	564911
235390	261198
235394	1730642
235395	338048
235455	4431231
235471	4435425
235477	249571
235504	78190
235586	235586
235659	245107
235663	235663
235693	536090
235741	684719
235836	235836
235838	235838
235839	235839
235977	4258048
235979	235979
235985	235985
236057	236057
236166	236166
236294	112057
236298	1136234
236312	236312
236391	557548
236397	236397
236430	4387187
236435	236435
236439	842800
236583	236583
236633	593163
236801	236801
236808	620035
23690	541875
236930	236930
23694	23694
2370	4436135
237040	3991527
237043	679077
237047	237047
2371	2371
237272	257210
237273	561193
2375	1106150
237582	206757
237583	937735
237742	572150
237749	721637
237842	570270
237863	237863
237866	578919
237941	270826
237947	257614
238031	238031
238032	4057605
238033	238033
238183	238183
2383	95610
238487	238487
238705	348576
238873	813142
238879	247493
238922	663932
238929	238929
239073	1110545
239076	334966
239079	160064
239131	199416
239231	788331
239243	139726
239427	317104
239622	239622
239700	256303
239708	239708
239789	1136456
239890	239890
239892	4444759
239915	243744
239967	239967
240072	4383172
240075	240075
240135	240135
240136	240136
240242	4447151
240360	240360
240440	240440
240547	31912
240700	668129
240701	4456553
240707	549506
240788	711935
240810	240810
240877	240877
240894	240894
240895	1059652
240912	240912
240915	257417
240997	240997
241034	241034
241036	241036
241303	241303
241307	241307
24150	499378
241705	344260
241706	4465329
241729	291816
241805	721832
242038	183907
242051	792865
242141	242141
242145	242145
242147	628318
242157	242157
242246	536557
242324	242324
242422	267373
242423	2228264
242559	242559
242585	242585
242588	242588
24259	112329
242796	578756
242797	242797
242804	4314196
242826	3011885
242908	242908
242989	242989
243138	243138
243201	818213
243204	243204
243435	244826
243633	243633
243814	2904801
243907	4436609
243981	261428
244042	244042
244045	244045
244080	244080
244128	244128
244201	244201
244283	244283
244491	244491
244518	332293
2446	2446
244674	131476
244757	244757
244775	242467
244863	244863
244867	1116073
244955	1108426
245026	1104850
245344	245344
24546	24546
245506	4343936
245670	21368
245677	245677
245679	1126230
245832	245832
245974	245974
246004	4315097
246142	246142
246147	813271
246232	744387
246233	246233
246465	4442955
246665	246665
24677	3653755
246819	4407767
246894	4421398
246996	1106566
247070	247070
247140	247140
247229	247229
24734	24734
247354	4351129
247473	247473
247483	247483
247484	223684
247537	4333237
247730	247730
247733	29056
247739	1111247
247883	247883
247974	669813
248034	248034
248072	257008
248077	4451362
248079	248079
248170	248170
248172	248172
248335	1128003
248337	248337
248455	248455
248552	1125443
248553	248553
248744	4425391
248858	250378
248998	248998
249075	249075
249078	228795
249133	249133
249208	1753261
249209	878951
249289	249289
249330	249330
249336	4295656
249461	279524
249598	249598
249700	12074
249781	3603504
249810	249810
249817	742822
249818	1141263
249891	159548
249895	249895
249899	42091
249915	249915
250114	3847840
250119	250119
250288	250288
250289	250289
250320	4365377
250428	4370814
250510	241652
250517	250517
250656	916783
250674	250674
250722	250722
250725	250725
250980	816797
250985	4315719
250987	250987
250989	250989
251050	251050
251057	1918591
251151	254854
25116	25116
251242	555495
251244	4346058
251267	4295177
251317	251317
251395	251395
251458	915631
251488	251488
251778	360074
252077	1783754
252185	252185
252330	2319974
25255	524724
25256	5438
252569	789411
252607	3506234
252811	252811
252812	252812
253026	253026
253142	254138
253274	1061145
253276	4378332
253301	104313
253304	253304
253380	253380
253678	575540
254043	254043
254143	254143
254235	151163
254304	2873181
254309	254309
254514	254514
254517	254517
254600	254600
254608	14962
254609	4348493
254706	254706
254728	254728
254729	254729
254811	254811
254817	226552
254895	254895
254949	254949
255006	255006
255091	255091
255095	255095
255234	327110
255370	255370
255378	238672
2554	2554
255454	2751334
255544	4476095
255640	315975
255641	1118723
255643	255643
255859	255859
256305	256305
25638	4422411
256408	256408
256515	256515
256521	1130121
256522	256522
256527	256527
256652	256652
256656	256656
256790	256790
256803	256803
256805	256805
25695	25695
25696	25696
256977	4385485
257041	2362284
25709	660055
257160	2414346
257250	14962
2573	2573
257323	257323
257324	811667
2574	4402202
2576	4335446
257640	245492
257642	3528448
2577	2577
257733	10760
257753	152581
257941	257941
257945	257945
257948	939286
258050	329731
258151	3037892
258297	3608623
25832	25832
258350	258350
258365	260592
258366	258366
258434	258434
258461	258461
258501	307897
258502	258502
258528	258528
25868	4322648
258747	258747
258872	258872
259094	259094
259097	259097
259098	259098
259422	220122
259477	259477
259530	259530
259533	259533
259537	1130053
259677	259677
259734	4335432
259822	259822
259826	821690
259903	259903
259981	330159
260	1753084
260014	260014
260092	276702
260161	260161
260188	4470921
260281	260281
260289	260289
2604	248831
260454	260454
260455	260455
260529	260529
260531	260531
260533	4369434
260536	260536
260730	260730
260737	260737
260826	348130
260903	260903
260907	260907
261055	261055
261132	261132
26128	195489
261294	1122581
261369	261369
261434	265985
261461	261461
261462	261462
261634	261634
261662	2111869
261663	261663
261740	4282096
261745	4465601
261838	261838
261976	617196
261978	261978
262150	684732
262159	262159
262267	3694342
262314	262314
262319	4447950
262506	262506
262779	262779
262936	262936
263163	4365306
263165	263165
263176	807187
263519	263519
263590	263590
263592	356055
263661	323403
263669	826658
263820	263820
263873	263873
264114	264114
264145	261264
264186	4365500
264252	264252
264258	264258
26437	26437
264666	833774
264685	4406735
264802	264802
264887	264887
264889	277512
264913	264913
264998	264998
2650	2650
265005	4399914
265007	265006
265137	1901956
265301	265301
265533	2768482
265635	22352
265813	268962
265819	251056
265884	3141120
265888	647710
266364	272092
266442	272225
266447	266447
266449	4363219
266983	510015
267158	227133
267216	621700
267282	4410599
267313	637421
267399	145383
267408	267408
26745	31570
267722	4350694
268290	268290
268391	4371996
268395	781371
268454	268454
268455	268455
268520	270513
268653	16036
268852	47677
268856	259846
2690	2690
269047	269047
269203	269203
269321	4305797
269328	1107458
269422	269422
269458	4303453
269593	269593
269597	269597
269726	269726
269985	269985
270039	270039
270179	4369819
270202	270202
270239	270239
270320	270320
270402	270402
270480	270480
270572	270572
270611	270611
270613	270613
270722	270722
270765	270765
270810	841965
270815	4402624
270896	3910240
271079	271079
271304	1127433
271536	810886
271537	331222
271539	68753
271614	322169
271846	271846
271891	271891
271921	271921
271926	177641
272042	840949
272230	272230
272411	272411
272414	272414
272472	272472
272478	819498
272479	272479
272493	272493
272732	272732
272734	272734
272737	272737
272942	272942
27323	27323
27326	27326
273317	273317
273400	273400
273405	318994
273462	4334618
273465	1114647
273617	264437
273724	273724
273805	273805
273880	236820
273970	273970
273977	274836
274160	1011954
274200	274200
274208	266210
274426	247141
274500	274500
274509	274509
274536	274536
274731	274731
274739	1106442
275236	275236
275349	275349
275366	275366
27542	27542
275456	275456
275556	275556
275708	275708
275882	275882
275888	228479
275954	264660
275968	940161
276183	276183
276206	269873
276208	276208
276301	315400
276312	276312
276317	2785331
276355	4446058
276511	276511
276553	2499164
276619	4402757
276797	137072
276800	238559
276889	276889
276934	276934
276985	276985
277047	277047
277136	275759
277150	277150
277154	277154
277443	277443
277446	585648
277499	277499
277566	277566
277612	259272
277616	277616
277641	277641
277681	591340
277682	277682
277687	277687
277760	159743
277811	277811
277812	277812
277813	277813
277818	163433
27784	144230
277895	220524
277896	240221
277911	278362
278010	278838
278012	278012
278017	278017
278018	2752425
278115	278115
278198	278198
278305	278305
278306	278306
278439	4474844
278555	4272403
278573	4428450
278639	278639
278702	278702
278708	278708
278709	4408398
278792	278792
278809	278809
278906	278906
279177	605664
279179	279179
279205	104313
279206	279206
279281	279281
279285	135262
279322	4414787
279468	4423602
279512	2651015
279517	320467
279650	279650
279659	279659
279948	279948
279949	414089
280213	280213
280454	1802717
280502	280502
281004	761408
281005	1135751
28138	673916
281742	281742
282077	282077
282132	282132
282134	1124689
282506	4386631
282743	143736
282746	282746
283392	1102657
2840	2840
284022	2121893
2842	2842
284420	284420
2845	529704
284524	826101
284851	284851
2849	1992597
284901	56717
285033	801258
285596	4319933
286220	286220
287179	287179
287209	287209
287430	215231
287505	287505
287508	287508
287509	557275
287662	287662
287668	287668
287724	287724
287949	287949
288118	524698
288119	288119
288192	288192
288193	288193
288195	288195
28823	4302223
288253	324301
288354	288354
288356	1579254
288364	288364
288382	353194
288422	288422
288426	35260
288574	105964
288628	296751
288677	288677
288734	124470
288944	288944
289055	318959
289151	1104908
289153	295613
289399	4430922
289466	289466
289636	289636
289771	289771
289776	289776
289781	4451392
289791	4365638
289836	289836
290027	290027
290122	4310675
290140	4306941
290254	339457
29029	29029
290386	290386
290493	4463477
290734	4155396
290852	290852
290855	356079
290937	290937
290956	295128
290974	290974
291030	291030
291111	291111
291171	291171
291173	339503
291179	291179
291372	301113
291380	291380
291481	1914811
291644	291644
291773	4451745
291774	16204
291813	562379
291924	276305
291997	291997
2920	4360679
292053	292053
292152	292152
292255	292255
292256	551915
292354	554560
292370	292370
292521	292521
292535	342518
292551	311566
292633	292633
292699	292699
292798	292798
292801	292801
293048	293048
293128	293128
293232	293232
293284	293284
293434	293434
293439	293547
293503	352840
293600	293600
293605	293605
293801	293801
293970	293970
293977	293977
293992	195185
294040	294040
294196	294196
294254	294254
29453	710432
294545	294545
294548	294548
294594	311582
294822	300511
294946	294946
295053	295053
295085	295085
295125	2775244
295144	295144
295252	299049
29550	29550
295527	295527
295631	340711
295632	302580
295804	295804
296079	296079
296137	296137
29618	817333
296205	296205
296256	296256
296284	157006
296560	4346780
296567	296567
296766	323411
296770	296770
296869	296869
296883	720093
296890	529846
296918	296918
296994	344114
297020	569017
297114	297114
297116	297116
297208	563803
297307	923783
297309	265278
297427	339131
297563	4482434
297675	4372464
297730	297730
297804	294794
297963	297963
297968	297968
298031	298031
298036	298036
298170	298170
298178	298178
298460	230618
298464	292056
298468	298468
298629	298629
298843	287863
298859	298859
298925	803010
298928	298928
299071	287657
299073	306785
299078	299078
299126	329313
299189	299189
29928	4372198
299280	299280
299284	299284
299340	4454318
299488	299488
299525	297878
299732	299732
299734	331863
300222	300222
300250	300250
300344	300344
300348	333297
300472	4314933
300517	300517
300523	300523
300581	4450759
300582	300582
300584	541602
300887	300887
301032	301032
301052	301052
30118	4396153
301200	302395
301205	4307661
301206	4307672
301293	301293
301405	4378906
301406	301406
301484	1124225
301523	288343
301614	301614
301753	304639
301862	301862
301864	4407580
301867	301867
301924	301924
302171	4353913
302231	289015
302349	513330
302641	302641
