Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
KE18.139777	Shifts in bacterial community structure associated with inputs of low molecular weight carbon compounds to soil, soil	QDB_0213	ID:0000089	chemical compound	0.0951486779	4	0.0908687678	ENVO:00001998	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00002261	forest soil	ENVO:00001998	soil
KE45.139802	Shifts in bacterial community structure associated with inputs of low molecular weight carbon compounds to soil, soil	QDB_0213	ID:0000089	chemical compound	0.0951486779	4	0.0908687678	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00000875	Temperate coniferous forest biome
M2Ykey217.141095	Forensic identification using skin bacterial communities, fierer forensic keyboard	QDB_0232	ID:0000041	skin	0.1274530513	4	0.0908687678	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface		
M9Rinr217.141080	Forensic identification using skin bacterial communities, fierer forensic keyboard	QDB_0232	ID:0000041	skin	0.1274530513	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
4.3.SN.139819	Characterization of airborne microbial communities at a high elevation site and their potential to act as atmospheric ice nuclei, snow	QDB_0314	ENVO:01000007	microbial feature	0.1003358909	6	0.3656838972	ENVO:00000146	ENVO:00000146	snow field				
4.4.CL.N.139823	Characterization of airborne microbial communities at a high elevation site and their potential to act as atmospheric ice nuclei, air	QDB_0314	ENVO:01000007	microbial feature	0.1012756599	4	0.0908687678	ENVO:00000568	ENVO:00002005	air	ENVO:00000568	aerial habitat		
CU3291.141434	Bacterial communities of disease vectors sampled across time space and species, prairie dog flea metagnome	QDB_0316	ENVO:00000260	prairie	0.0901318401	4	0.0908687678	ENVO:00002032	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat		
CU3100.141556	Bacterial communities of disease vectors sampled across time space and species, flea	QDB_0316	ID:0000017	pathogenicity-related habitat	0.1117055892	1	0.002069321	ENVO:00002032	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat		
S76.141295	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V131, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S66.141193	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V122, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S67.141255	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V123, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S61.141273	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V118, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S10.141259	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V3, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S75.141264	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V130, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S35.141265	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V95, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S124.141190	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V27, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S6.141243	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V116, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S62.141238	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V119, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S163.141154	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V54, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S22.141245	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V82, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
F20.141202	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V164, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
F40.141222	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V176, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
F36.141168	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V171, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S185.141306	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V73, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
F32.141203	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V169, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S63.141174	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V120, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S180.141177	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V68, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S109.141286	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V11, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S145.141180	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V39, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S49.141271	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V107, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S112.141210	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V15, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S34.141200	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V94, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S166.141214	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V57, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S53.141277	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V110, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S121.141284	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V24, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S60.141179	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V117, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S117.141246	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V19, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S41.141304	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V101, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S108.141320	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V10, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S47.141287	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V105, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S129.141216	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V28, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S86.141173	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V139, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S165.141155	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V56, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S154.141182	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V46, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S103.141251	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V5, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S74.141313	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V129, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S177.141327	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V66, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S24.141150	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V84, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
M24.141282	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V154, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
M30.141266	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V156, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S91.141157	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V143, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
M44.141272	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V174, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S137.141252	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V35, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S182.141250	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V70, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S114.141215	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V17, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S32.141191	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V92, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S184.141322	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V72, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S51.141267	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V109, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S171.141307	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V63, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S55.141275	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V112, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S57.141254	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V114, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S104.141153	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V6, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
M36.141240	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V159, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S106.141176	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V8, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S115.141160	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V18, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S54.141262	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V111, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S81.141236	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V136, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
F30.141328	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V168, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S25.141294	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V85, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S169.141316	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V60, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S23.141209	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V83, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S134.141292	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V33, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
F22.141192	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V165, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S7.141171	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V125, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S82.141309	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V137, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S187.141319	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V75, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
M10.141280	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V148, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S77.141183	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V132, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S2.141197	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V79, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S120.141199	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V23, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S144.141300	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V38, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S36.141298	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V96, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S17.141229	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V61, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S20.141297	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V80, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S97.141156	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V146, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S123.141163	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V26, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S30.141285	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V90, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S172.141184	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V64, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S190.141237	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V78, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S113.141302	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V16, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S89.141281	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V142, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
M42.141226	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V173, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S118.141247	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V20, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S122.141299	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V25, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
S159.141257	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V49, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810606	3	0.034209793	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat		
