Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
E2B12PreWash2.481301	Lung HIV Microbiome Project, human oral	QDB_1020	ID:0000000	animal microbiome	0.193109626594	3	0.0342097930214	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:00005791	sterile water
A97T.391479	Short-term antibiotic treatment has differing long-term impacts on the human throat and gut microbiome., human oral	QDB_0539	ID:0000002	gut	0.0995075536644	3	0.0342097930214	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
000004414.1078121	AGP Mercola Food, Reg H2O Radish	QDB_2013	ENVO:00002002	food product	0.119630130896	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
UQ631.591032	New Zealand Terrestrial Antarctic Biocomplexity survey (NZTABS), soil	QDB_1035	ENVO:00000446	terrestrial biome	0.121172248538	2	0.0118310790194	ENVO:00002997	ENVO:00002997	Cold-winter (continental) deserts and semideserts	ENVO:01000017	sand	ENVO:00000173	rocky desert
Preantibiotic.8.66.984474	Preantibiotic Sample, Treatment 8, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
Preantibiotic.4.62.984467	Preantibiotic Sample, Treatment 4, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
XS.dec08.823529	Comparison of groundwater samples from karst sinkholes (cenotes) from the Yucatan Peninsula, Mexico, groundwater sediment	QDB_0861	ENVO:00000195	sinkhole	0.116652283122	0	0.000604878446618	ENVO:00000195	ENVO:00000195	sinkhole	ENVO:00002010	saline water	ENVO:00000873	freshwater biome
M14.533974	Intertidal microbes 16s for 2009 and 2024, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
GorillaSTL.284396	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, western lowland gorilla gut	QDB_0626	ID:0000000	animal microbiome	0.0984376970712	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
000004418.1078160	AGP Mercola Food, V VegSprD7	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
MCDD.49.478601	Progression of NAFLD is driven by inflammasome-mediated dysbiosis, mouse gut	QDB_0909	ID:0000002	gut	0.134157985084	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S35.141265	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V95, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
DIRT14.733836	HJ Andrews, Douglas-fir, rep 3, soil	QDB_1038	ENVO:00001998	soil	0.149970176155	0	0.000604878446618	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
ProB9.658359	to study bacterial communities on fresh produce, sample from Mushrooms	QDB_1671	ENVO:02000072	mushroom	0.185997879987	9	0.824670384171	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
SpecBr2.284409	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, spectacled bear gut	QDB_0626	ID:0000000	animal microbiome	0.111544612197	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S124.141190	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V27, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PLRP9.146.589056	Pavilion Lake Research Project, 146	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
1CA.sed.D1.660382	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, sediment	QDB_1580	ID:0000078	estuary sediment	0.22567645147	3	0.0342097930214	ENVO:00002209	ENVO:00000892	Small lake biome	ENVO:00002209	saline lake sediment
uP8.386773	Improved detection of bifidobacteria with optimised 16S rRNA gene based pyrosequencing, human gut	QDB_0967	ID:0000002	gut	0.0993550356101	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PO6.2.T0.830805	Ercolini whole grain feces, Fecal sample taken from individual PO6.2	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S6.141243	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V116, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004391.1078188	AGP Mercola Food, V FerSprD7	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S62.141238	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V119, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M41Ewxr.140794	Bacterial Community Variation in Human Body Habitats Across Space and Time, right outer ear canal/earwax	QDB_0449	ENVO:00002036	habitat	0.106310628408	4	0.0908687678472	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:02000028	ear wax
MT1.141719	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00000111	forest
KE18.139777	Shifts in bacterial community structure associated with inputs of low molecular weight carbon compounds to soil, soil	QDB_0213	ID:0000089	chemical compound	0.0951486778777	4	0.0908687678472	ENVO:00001998	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00002261	forest soil	ENVO:00001998	soil
S163.141154	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V54, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004434.1078133	AGP Mercola Food, VegSprD9	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
180A.517910	Non-invasive mapping of the gut microbiota as a screening method for IBD in children and young adults., human gut	QDB_1458	ID:0000002	gut	0.0941214650505	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S22.141245	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V82, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
F20.141202	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V164, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
ZKG1.666758	CryoCARB Permafrost soil microbiome, soil	QDB_1034	ENVO:00000134	permafrost	0.27342821392	5	0.2001811416	ENVO:00001998	ENVO:00000874	Tundra biome	ENVO:00001998	soil	ENVO:00000112	tundra
BF.B.836766	Bacterial community dynamics in Heliconius erato, leaf	QDB_1898	ID:0000014	leaf	0.161724302467	6	0.365683897177	ENVO:01000155	ENVO:01000155	organic material	ENVO:00000111	forest	ENVO:00000879	Tropical and subtropical moist broadleaf forest biome
000004431.1078143	AGP Mercola Food, Breast Milk B	QDB_2013	ENVO:02000031	breast milk	0.353123680807	4	0.0908687678472	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
fecal.T0.U5.1085336	Mouse Decomp Forensics 2011, mouse gut	QDB_1996	ID:0000002	gut	0.231774336681	1	0.00206932100159	ENVO:00002003	ENVO:00000446	terrestrial biome	ENVO:00002003	feces	ENVO:00009002	mammalia-associated habitat
C1.533959	Intertidal microbes 16s for 2009 and 2055, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
F40.141222	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V176, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
HyraxSD.284389	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, rock hyrax gut	QDB_0626	ID:0000000	animal microbiome	0.108494189024	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
UT.15.54a.3.281912	16S soil survey, spatial and temporal variation across four ecosystems, soil	QDB_0619	ENVO:00000428	biome	0.217766962364	3	0.0342097930214	ENVO:00000877	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil
F36.141168	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V171, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Mvag6.285877	Delivery mode effects on newborn microbiota, human vagina	QDB_0395	ID:0000039	vagina	0.153661256584	3	0.0342097930214	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
S185.141306	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V73, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
59.HA.Mouth.663889	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, human oral	QDB_1684	ENVO:01000007	microbial feature	0.109886534217	4	0.0908687678472	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
Kroo3.284424	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, red kangaroo gut	QDB_0626	ID:0000000	animal microbiome	0.108920723896	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
F32.141203	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V169, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S63.141174	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V120, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UBT30.660772	Kelley nicu contamination, Swab was taken from NICU baby open bedside touch screen on vitals monitoring device UCSD	QDB_0386	ID:0000020	mouth	0.088033258629	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
000004408.1078182	AGP Mercola Food, Granny Smith Apple	QDB_2013	ENVO:00003879	apple juice	0.13595440069	8	0.708292629533	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S180.141177	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V68, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M10.533956	Intertidal microbes 16s for 2009 and 2020, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
egg.WI.2010.435.712084.739083	Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, organismal	QDB_1098	ENVO:00005805	nest of bird	0.1955892606	0	0.000604878446618	ENVO:00005805	ENVO:00005805	nest of bird	ENVO:02000057	hen's egg product
CRBM.03.284372	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, human gut	QDB_0625	ID:0000058	skin	0.144433977386	1	0.00206932100159	ENVO:00009003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
H10.4.jul09.823533	Comparison of groundwater samples from karst sinkholes (cenotes) from the Yucatan Peninsula, Mexico, groundwater	QDB_0861	ENVO:00000195	sinkhole	0.128705580742	5	0.2001811416	ENVO:00000026	ENVO:00002019	brackish water	ENVO:00000873	freshwater biome	ENVO:00000026	well
SP2.733840	Horse Ridge, western juniper, rep 2, soil	QDB_1038	ENVO:00000170	dune	0.162567499332	2	0.0118310790194	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
LD.NBS1074E.711010	Gut microbiota of phyllostomid bats that span a breadth of diets, gut	QDB_1734	ID:0000002	gut	0.136710740221	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009002	mammalia-associated habitat	ENVO:00000879	Tropical and subtropical moist broadleaf forest biome
O.15.683036	Obese saliva, human oral	QDB_0958	ENVO:02000036	saliva	0.288279983973	0	0.000604878446618	ENVO:02000036	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
Pitt.BAL.L.neg.7041.52370469.592452	LHMP Pittsburgh, human lung	QDB_1536	ID:0000052	lung	0.233452866247	2	0.0118310790194	ENVO:00009003	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
UIW23.660774	Kelley nicu contamination, Swab was taken from NICU incubator white turn handles to open incubator UCSD	QDB_0386	ID:0000020	mouth	0.111976671191	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
UNKNOWN.6.984020	Personal Genome Project, unclassified	QDB_1189			0	17	1.0	ENVO:00009003	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
Preantibiotic.6.64.984454	Preantibiotic Sample, Treatment 6, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
S109.141286	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V11, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004430.1078137	AGP Mercola Food, VegSprD1	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S145.141180	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V39, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M34.533967	Intertidal microbes 16s for 2009 and 2044, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	5	0.2001811416	ENVO:01000155	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat
C101F.391462	Short-term antibiotic treatment has differing long-term impacts on the human throat and gut microbiome., human gut	QDB_0539	ID:0000002	gut	0.109489523724	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
NA.13.T4.830844	Ercolini whole grain feces, Fecal sample taken from individual NA.13	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
Antibioticday5.6.82.984473	Antibiioticday5 Sample, Treatment 6, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
LMHV.005031.6004BAL.A.552339	BAL sample from Lung MicroCHIP Study, human lung	QDB_1438	ID:0000052	lung	0.15921809973	2	0.0118310790194	ENVO:00009003	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
000004484.1078131	AGP Mercola Food, Sunflower Sprouts	QDB_2013	ID:0000032	sprout	0.181336276765	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
P.Masambaba.SA.414862	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	4	0.0908687678472	ENVO:00002012	ENVO:00000447	marine biome	ENVO:00002012	hypersaline water	ENVO:00000038	lagoon
NA.16.T0.830801	Ercolini whole grain feces, Fecal sample taken from individual NA.16	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S49.141271	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V107, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UW.community.garden.686747	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil	ENVO:00005779	vegetable garden soil
F32b.385230	Examining the global distribution of dominant archaeal populations in soil, soil	QDB_0928	ENVO:00001998	soil	0.132271947581	0	0.000604878446618	ENVO:00001998	ENVO:00002009	terrestrial habitat	ENVO:00000446	terrestrial biome	ENVO:00001998	soil
NA.04.T8.830807	Ercolini whole grain feces, Fecal sample taken from individual NA.04	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S112.141210	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V15, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UWR21.660749	Kelley nicu contamination, Swab was taken from NICU traveling weigh cart drawer handles2 UCSD	QDB_0386	ID:0000020	mouth	0.101664047581	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
051037BA02.486088	LHMP Indiana, human lung	QDB_1069	ID:0000052	lung	0.229604810003	2	0.0118310790194	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
NSBH25Sept07.618652	Temperate Bog Lakes, freshwater	QDB_1288	ENVO:00000021	freshwater lake	0.502086920142	0	0.000604878446618	ENVO:00000021	ENVO:00000021	freshwater lake	ENVO:00000892	Small lake biome	ENVO:00002011	fresh water
Lion1.284404	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, lion gut	QDB_0626	ID:0000000	animal microbiome	0.120059420498	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
CHRA2.413971	EMP project, soil	QDB_1031	ENVO:00001998	soil	0.292397767696	0	0.000604878446618	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
L.Vermelha.HC.a.488614	Rio de aneiro Coastline, marine	QDB_1039	ENVO:00000303	coast	0.232880634976	2	0.0118310790194	ENVO:00000038	ENVO:00000447	marine biome	ENVO:00000038	lagoon	ENVO:00002007	sediment
M38.533987	Intertidal microbes 16s for 2009 and 2048, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
S34.141200	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V94, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
